bairro,rua,cidade,estacao,tipo,distance_km
Tatuapé,Rua Jacirendi,São Paulo,Carrao,metro,1.650343668783682
Tatuapé,Rua Jacirendi,São Paulo,Tatuape,metro,1.0386717681238316
Tatuapé,Rua Jacirendi,São Paulo,Belem,metro,1.7147212151233375
Bom Retiro,Rua Newton Prado,São Paulo,Santa Cecilia,metro,1.8997619987569674
Bom Retiro,Rua Newton Prado,São Paulo,Marechal Deodoro,metro,1.910299603549048
Bom Retiro,Rua Newton Prado,São Paulo,Osasco,trem,1.4300866865867867
Bom Retiro,Rua Newton Prado,São Paulo,Pinheiros,trem,1.4300866865867867
Bom Retiro,Rua Newton Prado,São Paulo,Portuguesa-Tietê,metro,1.5906996834614173
Bom Retiro,Rua Newton Prado,São Paulo,Armênia,metro,0.8983437567721173
Bom Retiro,Rua Newton Prado,São Paulo,Tiradentes,metro,0.9220801498754224
Bom Retiro,Rua Newton Prado,São Paulo,Luz,metro,1.2329153268451523
Santana,Rua Paulo Gonçalves 205,São Paulo,Parada Inglesa,metro,1.9324827479882525
Santana,Rua Paulo Gonçalves 205,São Paulo,Jardim São Paulo Ayrton Senna,metro,0.9591572932015414
Santana,Rua Paulo Gonçalves 205,São Paulo,Santana,metro,0.8318233522411403
Santana,Rua Paulo Gonçalves 205,São Paulo,Carandiru,metro,1.558344311641849
Panamby,Rua Diego de Castilho,São Paulo,Granja Julieta,trem,1.4015265109996122
Parada Inglesa,Rua Gilberto Sampaio 43,São Paulo,Tucuruvi,metro,1.4204542399611522
Parada Inglesa,Rua Gilberto Sampaio 43,São Paulo,Parada Inglesa,metro,0.5514582840838551
Parada Inglesa,Rua Gilberto Sampaio 43,São Paulo,Jardim São Paulo Ayrton Senna,metro,0.6318587127373442
Parada Inglesa,Rua Gilberto Sampaio 43,São Paulo,Santana,metro,1.8935701551277917
Tatuapé,Rua Sebastião Barbosa,São Paulo,Tatuape,metro,1.537224014665652
Saúde,Rua Major Freire,São Paulo,Praça da Árvore,metro,1.9839901139389249
Saúde,Rua Major Freire,São Paulo,São Judas,metro,0.7440534707546734
Saúde,Rua Major Freire,São Paulo,Conceição,metro,1.090901175660772
Santana,RUA DOUTOR GUILHERME CRISTOFEL,São Paulo,Parada Inglesa,metro,1.8275913669409312
Santana,RUA DOUTOR GUILHERME CRISTOFEL,São Paulo,Jardim São Paulo Ayrton Senna,metro,1.118622556943021
Santana,RUA DOUTOR GUILHERME CRISTOFEL,São Paulo,Santana,metro,1.6100220951112363
Panamby,Rua Deputado Laércio Corte 390,São Paulo,Granja Julieta,trem,1.971839723357944
Tatuapé,Rua Cândido Lacerda,São Paulo,Carrao,metro,1.7771977751310637
Tatuapé,Rua Cândido Lacerda,São Paulo,Tatuape,metro,1.9067592636476263
Tatuapé,Sete de Outubro,São Paulo,Penha,metro,1.3496402361219266
Tatuapé,Sete de Outubro,São Paulo,Carrao,metro,1.348496484865552
Mooca,Alvaro Ramos,São Paulo,Tatuape,metro,1.029016522774267
Mooca,Alvaro Ramos,São Paulo,Belem,metro,0.8326618531440514
Casa Verde,R Itaici,São Paulo,Jardim São Paulo Ayrton Senna,metro,1.8494055429425438
Casa Verde,R Itaici,São Paulo,Santana,metro,1.5709606812676973
Santana,Rua Manuel de Sousa 41,São Paulo,Parada Inglesa,metro,1.8444580675645392
Santana,Rua Manuel de Sousa 41,São Paulo,Jardim São Paulo Ayrton Senna,metro,0.9936320872922799
Santana,Rua Manuel de Sousa 41,São Paulo,Santana,metro,1.2827833799067316
Tucuruvi,Rua Antônio Flaquer 269,São Paulo,Tucuruvi,metro,1.1712574216799976
Tucuruvi,Rua Antônio Flaquer 269,São Paulo,Parada Inglesa,metro,1.8178171896891153
Vila Prudente,Rua Cavour 399,São Paulo,Tamanduateí,metro,1.5915430270337485
Vila Prudente,Rua Cavour 399,São Paulo,Vila Prudente,metro,0.765026431466973
Santana,Antonio Pereira de Sousa 252,São Paulo,Parada Inglesa,metro,1.832273642960091
Santana,Antonio Pereira de Sousa 252,São Paulo,Jardim São Paulo Ayrton Senna,metro,1.027130348862315
Santana,Antonio Pereira de Sousa 252,São Paulo,Santana,metro,1.3961507881901556
Butantã,Rua Coronel Camisão,São Paulo,Morumbi,trem,1.4699489017166556
Butantã,Rua Coronel Camisão,São Paulo,Saúde,metro,1.7560105158799697
Butantã,Rua Coronel Camisão,São Paulo,São Paulo-Morumbi,metro,1.4936337397052646
Vila das Mercês,Avenida Santo Albano,São Paulo,Sacomã,metro,1.6871727432653607
Bom Retiro,Rua Correia de Melo,São Paulo,Republica,metro,1.740032516669168
Bom Retiro,Rua Correia de Melo,São Paulo,Santa Cecilia,metro,1.6494077211039584
Bom Retiro,Rua Correia de Melo,São Paulo,Marechal Deodoro,metro,1.9518376467126328
Bom Retiro,Rua Correia de Melo,São Paulo,Osasco,trem,0.8020787698568614
Bom Retiro,Rua Correia de Melo,São Paulo,Pinheiros,trem,0.8020787698568614
Bom Retiro,Rua Correia de Melo,São Paulo,Portuguesa-Tietê,metro,1.7743725219177837
Bom Retiro,Rua Correia de Melo,São Paulo,Armênia,metro,0.7222160351723579
Bom Retiro,Rua Correia de Melo,São Paulo,Tiradentes,metro,0.31242781068397335
Bom Retiro,Rua Correia de Melo,São Paulo,Luz,metro,0.6462348103403225
Bom Retiro,Rua Correia de Melo,São Paulo,São Bento,metro,1.6824284095749398
Tatuapé,Rua Sete de Outubro 156,São Paulo,Penha,metro,1.361275621343459
Tatuapé,Rua Sete de Outubro 156,São Paulo,Carrao,metro,1.3386439871121332
Jaguaré,Rua Caetanópolis 800,São Paulo,Presidente Altino,trem,1.5565127463686035
Jaguaré,Rua Caetanópolis 800,São Paulo,Ceasa,trem,1.45318441147631
Morumbi,av giovanne gronchi,São Paulo,Morumbi,trem,1.4508340672332798
Morumbi,av giovanne gronchi,São Paulo,Saúde,metro,1.1313810182689608
Morumbi,av giovanne gronchi,São Paulo,São Paulo-Morumbi,metro,1.4457317628738968
Ipiranga,Rua Silva Bueno 863,São Paulo,Sacomã,metro,1.9167919560172875
Ipiranga,Rua Silva Bueno 863,São Paulo,Tamanduateí,metro,1.3811032744535754
Ipiranga,Rua Silva Bueno 863,São Paulo,Vila Prudente,metro,1.63507327339249
Parque Novo Mundo,Rua Visconde de Parnaíba,São Paulo,Bresser-Mocca,metro,0.145792060125011
Parque Novo Mundo,Rua Visconde de Parnaíba,São Paulo,Bras,metro,0.7075658131876283
Parque Novo Mundo,Rua Visconde de Parnaíba,São Paulo,Pedro II,metro,1.7700846191363069
Vila Gumercindo,Rua Pedrália,São Paulo,Santos – Imigrantes,metro,1.076694631952184
Vila Gumercindo,Rua Pedrália,São Paulo,Alto do Ipiranga,metro,0.4952260122825802
Vila Gumercindo,Rua Pedrália,São Paulo,Sacomã,metro,1.3795419750494293
Santana,R Aluísio Azevedo,São Paulo,Jardim São Paulo Ayrton Senna,metro,1.898873261080614
Santana,R Aluísio Azevedo,São Paulo,Santana,metro,1.0940663135614903
Santana,R Aluísio Azevedo,São Paulo,Carandiru,metro,1.5617614171752232
Mooca,Rua Curupacê,São Paulo,Bresser-Mocca,metro,1.768039740532135
Mooca,Rua Emboaçava 496,São Paulo,Vila Prudente,metro,1.9952275276099107
Casa Verde,RUA SOROR ANGELICA,São Paulo,Santana,metro,1.6721805553334426
Casa Verde,RUA SOROR ANGELICA,São Paulo,Carandiru,metro,1.7613224921941382
Tatuapé,CANTAGALO,São Paulo,Carrao,metro,0.8223700257417302
Tatuapé,CANTAGALO,São Paulo,Tatuape,metro,1.6606176748662
Santana,Voluntarios Da Patria 3823,São Paulo,Parada Inglesa,metro,1.6793259230654065
Santana,Voluntarios Da Patria 3823,São Paulo,Jardim São Paulo Ayrton Senna,metro,1.0621552918344577
Santana,Voluntarios Da Patria 3823,São Paulo,Santana,metro,1.7406094878912006
Morumbi,Avenida Giovanni Gronchi,São Paulo,Morumbi,trem,1.4508340672332798
Morumbi,Avenida Giovanni Gronchi,São Paulo,Saúde,metro,1.1313810182689608
Morumbi,Avenida Giovanni Gronchi,São Paulo,São Paulo-Morumbi,metro,1.4457317628738968
Ipiranga,Rua Pedro Victor,São Paulo,Vila Mariana,metro,1.7760491947289172
Ipiranga,Rua Pedro Victor,São Paulo,Chácara Klabin,metro,1.4440948753037626
Ipiranga,Rua Pedro Victor,São Paulo,Santos – Imigrantes,metro,0.48491965165383477
Ipiranga,Rua Pedro Victor,São Paulo,Alto do Ipiranga,metro,0.5660142385034139
Ipiranga,Rua Pedro Victor,São Paulo,Sacomã,metro,1.591244927972609
Jardim Paulista,AVENIDA BRIGADEIRO LUÍS ANTÔNIO,São Paulo,Vergueiro,metro,1.8284367704684639
Jardim Paulista,AVENIDA BRIGADEIRO LUÍS ANTÔNIO,São Paulo,Paraíso,metro,1.537369688114193
Jardim Paulista,AVENIDA BRIGADEIRO LUÍS ANTÔNIO,São Paulo,Ana Rosa,metro,1.9430406257622708
Jardim Paulista,AVENIDA BRIGADEIRO LUÍS ANTÔNIO,São Paulo,Consolação,metro,1.9476064562944533
Jardim Paulista,AVENIDA BRIGADEIRO LUÍS ANTÔNIO,São Paulo,Trianon – Masp,metro,1.4507517516080028
Jardim Paulista,AVENIDA BRIGADEIRO LUÍS ANTÔNIO,São Paulo,Brigadeiro,metro,1.1810950838463738
Jardim Paulista,AVENIDA BRIGADEIRO LUÍS ANTÔNIO,São Paulo,Paraíso,metro,1.4299545230736022
Jardim Paulista,AVENIDA BRIGADEIRO LUÍS ANTÔNIO,São Paulo,Ana Rosa,metro,1.724612229153778
Santana,R BANCO DAS PALMAS,São Paulo,Jardim São Paulo Ayrton Senna,metro,1.440851438644117
Santana,R BANCO DAS PALMAS,São Paulo,Santana,metro,0.30965635693190746
Santana,R BANCO DAS PALMAS,São Paulo,Carandiru,metro,0.9416529180844707
Santana,R BANCO DAS PALMAS,São Paulo,Portuguesa-Tietê,metro,1.6990487921143151
Saúde,Rua dos Democratas 691,São Paulo,São Judas,metro,0.8150789862455617
Saúde,Rua dos Democratas 691,São Paulo,Conceição,metro,1.0701502552250803
Butantã,Rodovia Raposo Tavares,São Paulo,Morumbi,trem,1.2067819456279947
Butantã,Rodovia Raposo Tavares,São Paulo,Saúde,metro,1.5046523326865524
Butantã,Rodovia Raposo Tavares,São Paulo,São Paulo-Morumbi,metro,1.1889465344530334
Butantã,Rodovia Raposo Tavares,São Paulo,Butantã,metro,1.3056879489099216
Jaguaré,RUA CAETANÓPOLIS,São Paulo,Presidente Altino,trem,1.9685708884153805
Jaguaré,RUA CAETANÓPOLIS,São Paulo,Ceasa,trem,1.593823894132322
Sacomã,RUA MARQUÊS DE MARICÁ,São Paulo,Sacomã,metro,1.2987729139616966
Tatuapé,Rua Sete de Outubro,São Paulo,Penha,metro,1.3496402361219266
Tatuapé,Rua Sete de Outubro,São Paulo,Carrao,metro,1.348496484865552
Ipiranga,Rua Mil Oitocentos E Vinte E Dois,São Paulo,Sacomã,metro,1.356790457664622
Ipiranga,Rua Mil Oitocentos E Vinte E Dois,São Paulo,Tamanduateí,metro,0.823537932492514
Ipiranga,Rua Mil Oitocentos E Vinte E Dois,São Paulo,Vila Prudente,metro,1.4306725179973245
Santana,Rua Frei Vicente do Salvador,São Paulo,Jardim São Paulo Ayrton Senna,metro,1.2042925480746576
Santana,Rua Frei Vicente do Salvador,São Paulo,Santana,metro,0.490472428424165
Santana,Rua Frei Vicente do Salvador,São Paulo,Carandiru,metro,1.199531478743447
Santana,Rua Frei Vicente do Salvador,São Paulo,Portuguesa-Tietê,metro,1.967809685617719
Saúde,Rua Doutor Nogueira Martins,São Paulo,Santa Cruz,metro,1.8837817214845525
Saúde,Rua Doutor Nogueira Martins,São Paulo,Praça da Árvore,metro,0.8451327390872967
Saúde,Rua Doutor Nogueira Martins,São Paulo,São Judas,metro,1.5236896918380929
Perdizes,rua,São Paulo,Santa Cecilia,metro,1.5597564202280962
Perdizes,rua,São Paulo,Marechal Deodoro,metro,0.7095964109650796
Perdizes,rua,São Paulo,Barra Funda,metro,0.8801287076244572
Ipiranga,Rua Ribeiro do Amaral,São Paulo,Santos – Imigrantes,metro,1.2674963607640324
Ipiranga,Rua Ribeiro do Amaral,São Paulo,Alto do Ipiranga,metro,0.8042221139646525
Ipiranga,Rua Ribeiro do Amaral,São Paulo,Sacomã,metro,0.9782930641053466
Bom Retiro,Bandeirantes,São Paulo,Osasco,trem,0.8813592593276194
Bom Retiro,Bandeirantes,São Paulo,Pinheiros,trem,0.8813592593276194
Bom Retiro,Bandeirantes,São Paulo,Portuguesa-Tietê,metro,1.476963983019852
Bom Retiro,Bandeirantes,São Paulo,Armênia,metro,0.35675474901016074
Bom Retiro,Bandeirantes,São Paulo,Tiradentes,metro,0.32469592911536493
Bom Retiro,Bandeirantes,São Paulo,Luz,metro,0.8763215620256876
Bom Retiro,Bandeirantes,São Paulo,São Bento,metro,1.814944402366738
Perdizes,Doutor Cândido Espinheira,São Paulo,Santa Cecilia,metro,1.7095522749891947
Perdizes,Doutor Cândido Espinheira,São Paulo,Marechal Deodoro,metro,0.9087412971917784
Perdizes,Doutor Cândido Espinheira,São Paulo,Barra Funda,metro,0.8738057670189905
Penha,Rua Sete de Outubro 156,São Paulo,Penha,metro,1.361275621343459
Penha,Rua Sete de Outubro 156,São Paulo,Carrao,metro,1.3386439871121332
Perdizes,Rua Cardoso de Almeida,São Paulo,Marechal Deodoro,metro,1.6779704472483712
Perdizes,Rua Cardoso de Almeida,São Paulo,Barra Funda,metro,1.7147046426248067
Perdizes,Rua Cardoso de Almeida,São Paulo,Sumaré,metro,1.4929199029721099
Perdizes,Rua Cardoso de Almeida,São Paulo,Clínicas,metro,1.5401592591633344
Perdizes,Rua Cardoso de Almeida,São Paulo,Paulista,metro,1.81847363484591
Santana,Rua Soror Angélica,São Paulo,Santana,metro,1.582544549175845
Santana,Rua Soror Angélica,São Paulo,Carandiru,metro,1.5915589452987253
Santana,Rua Soror Angélica,São Paulo,Portuguesa-Tietê,metro,1.9256187001898584
Perdizes,R Cardoso de Almeida,São Paulo,Marechal Deodoro,metro,1.6779704472483712
Perdizes,R Cardoso de Almeida,São Paulo,Barra Funda,metro,1.7147046426248067
Perdizes,R Cardoso de Almeida,São Paulo,Sumaré,metro,1.4929199029721099
Perdizes,R Cardoso de Almeida,São Paulo,Clínicas,metro,1.5401592591633344
Perdizes,R Cardoso de Almeida,São Paulo,Paulista,metro,1.81847363484591
Parque Novo Mundo,Rua Passos 82,São Paulo,Tatuape,metro,1.7807866887657096
Parque Novo Mundo,Rua Passos 82,São Paulo,Belem,metro,0.6617090722066672
Parque Novo Mundo,Rua Passos 82,São Paulo,Bresser-Mocca,metro,1.6722496241338234
Vila Prudente,R Inácio,São Paulo,Tamanduateí,metro,1.4631575774253491
Vila Prudente,R Inácio,São Paulo,Vila Prudente,metro,0.7705224078686777
Panamby,Rua Leonardo Cerveira Varandas,São Paulo,Granja Julieta,trem,1.5032474715294288
Tatuapé,Cantagalo,São Paulo,Carrao,metro,0.8223700257417302
Tatuapé,Cantagalo,São Paulo,Tatuape,metro,1.6606176748662
Penha,AMADOR BUENO DA VEIGA,São Paulo,Vila Matilde,metro,1.4027704065928839
Penha,AMADOR BUENO DA VEIGA,São Paulo,Penha,metro,1.317972045131447
Santana,Rua Voluntarios da Patria 3533,São Paulo,Parada Inglesa,metro,1.5995327622326878
Santana,Rua Voluntarios da Patria 3533,São Paulo,Jardim São Paulo Ayrton Senna,metro,0.8632208192663836
Santana,Rua Voluntarios da Patria 3533,São Paulo,Santana,metro,1.5079713422447436
Casa Verde,Atilio Piffer 489,São Paulo,Barra Funda,metro,1.8341056053091063
Cerqueira César,Augusta,São Paulo,Clínicas,metro,1.270107762499711
Cerqueira César,Augusta,São Paulo,Consolação,metro,0.2028976102337132
Cerqueira César,Augusta,São Paulo,Trianon – Masp,metro,0.8633226110070684
Cerqueira César,Augusta,São Paulo,Brigadeiro,metro,1.1530377602603632
Cerqueira César,Augusta,São Paulo,Oscar Freire,metro,0.9453420925967096
Cerqueira César,Augusta,São Paulo,Paulista,metro,0.6055129148472695
Cerqueira César,Augusta,São Paulo,Higienópolis-Mackenzie,metro,1.6905339118644818
Tatuapé,Rua Luiz dos Santos Cabral 37,São Paulo,Carrao,metro,1.8405220279066963
Tatuapé,Estrada Velha da Penha,São Paulo,Penha,metro,1.7133667456462627
Tatuapé,Estrada Velha da Penha,São Paulo,Carrao,metro,1.2102527664275406
Barra Funda,Rua dos americanos,São Paulo,Santa Cecilia,metro,1.9388321484965476
Barra Funda,Rua dos americanos,São Paulo,Marechal Deodoro,metro,1.2462346387928092
Barra Funda,Rua dos americanos,São Paulo,Barra Funda,metro,1.2521273689149575
Santana,Rua Garção Tinoco,São Paulo,Parada Inglesa,metro,1.8030841295318967
Santana,Rua Garção Tinoco,São Paulo,Jardim São Paulo Ayrton Senna,metro,0.8117164511926354
Santana,Rua Garção Tinoco,São Paulo,Santana,metro,0.6268557526662136
Santana,Rua Garção Tinoco,São Paulo,Carandiru,metro,1.3329181864246447
Santana,Rua Cezar Zama,São Paulo,Parada Inglesa,metro,1.9280322627178867
Santana,Rua Cezar Zama,São Paulo,Jardim São Paulo Ayrton Senna,metro,1.2598030386221575
Santana,Rua Cezar Zama,São Paulo,Santana,metro,1.7318922060866324
Santana,Paulo Goncalves 205,São Paulo,Parada Inglesa,metro,1.9324827479882525
Santana,Paulo Goncalves 205,São Paulo,Jardim São Paulo Ayrton Senna,metro,0.9591572932015414
Santana,Paulo Goncalves 205,São Paulo,Santana,metro,0.8318233522411403
Santana,Paulo Goncalves 205,São Paulo,Carandiru,metro,1.558344311641849
Real Parque,Rua Dom Paulo Pedrosa,São Paulo,Berrini,trem,1.429297491633931
Santana,RUA ANTONIO PEREIRA DE SOUSA,São Paulo,Parada Inglesa,metro,1.8187413364341245
Santana,RUA ANTONIO PEREIRA DE SOUSA,São Paulo,Jardim São Paulo Ayrton Senna,metro,0.99890879569524
Santana,RUA ANTONIO PEREIRA DE SOUSA,São Paulo,Santana,metro,1.3589919256353589
Santana,RUA ALTINÓPOLIS,São Paulo,Tucuruvi,metro,1.3419041728811851
Santana,RUA ALTINÓPOLIS,São Paulo,Parada Inglesa,metro,0.8432624307617136
Santana,RUA ALTINÓPOLIS,São Paulo,Jardim São Paulo Ayrton Senna,metro,0.94321588352132
Parque Novo Mundo,Avenida Celso Garcia,São Paulo,Carrao,metro,1.8878871280187575
Parque Novo Mundo,Avenida Celso Garcia,São Paulo,Tatuape,metro,0.8281351012107215
Parque Novo Mundo,Avenida Celso Garcia,São Paulo,Belem,metro,1.1155723552959451
Santana,Rua Voluntários da Pátria,São Paulo,Jardim São Paulo Ayrton Senna,metro,1.1855109315349794
Santana,Rua Voluntários da Pátria,São Paulo,Santana,metro,0.22874941264864815
Santana,Rua Voluntários da Pátria,São Paulo,Carandiru,metro,0.9410405667228832
Santana,Rua Voluntários da Pátria,São Paulo,Portuguesa-Tietê,metro,1.7132047543265316
Santa Cecília,R Baronesa de Itu,São Paulo,Republica,metro,1.5671408745078375
Santa Cecília,R Baronesa de Itu,São Paulo,Santa Cecilia,metro,0.8354456072387703
Santa Cecília,R Baronesa de Itu,São Paulo,Marechal Deodoro,metro,0.6229623294626491
Santa Cecília,R Baronesa de Itu,São Paulo,Barra Funda,metro,1.8444381505988339
Santa Cecília,R Baronesa de Itu,São Paulo,Paulista,metro,1.8182933046422203
Santa Cecília,R Baronesa de Itu,São Paulo,Higienópolis-Mackenzie,metro,1.1767391653614756
Tatuapé,Rua Teixeira de Melo,São Paulo,Carrao,metro,0.9450489111126281
Tatuapé,Rua Teixeira de Melo,São Paulo,Tatuape,metro,0.4237732631173263
Tatuapé,Rua Teixeira de Melo,São Paulo,Belem,metro,1.748133653465308
Santana,Rua Alfredo Pujol 1741,São Paulo,Santana,metro,1.5399862730334914
Santana,Rua Alfredo Pujol 1741,São Paulo,Carandiru,metro,1.668144775858992
Tatuapé,Rua Santa Gertudes,São Paulo,Penha,metro,1.90238269674508
Tatuapé,Rua Santa Gertudes,São Paulo,Carrao,metro,1.5370685147558967
Ipiranga,Rua Lino Coutinho,São Paulo,Alto do Ipiranga,metro,1.7358899271696935
Ipiranga,Rua Lino Coutinho,São Paulo,Sacomã,metro,1.1568615870095036
Ipiranga,Rua Lino Coutinho,São Paulo,Tamanduateí,metro,1.185383474495398
Ipiranga,Rua Lino Coutinho,São Paulo,Vila Prudente,metro,1.8013296031463502
Santana,R Doutor Zuquim,São Paulo,Parada Inglesa,metro,1.6933002146291585
Santana,R Doutor Zuquim,São Paulo,Jardim São Paulo Ayrton Senna,metro,0.7415355108272237
Santana,R Doutor Zuquim,São Paulo,Santana,metro,0.686344111273126
Santana,R Doutor Zuquim,São Paulo,Carandiru,metro,1.3161906426448018
Santana,Avenida Água Fria,São Paulo,Tucuruvi,metro,1.8494346801830726
Santana,Avenida Água Fria,São Paulo,Parada Inglesa,metro,1.2334657919487029
Santana,Avenida Água Fria,São Paulo,Jardim São Paulo Ayrton Senna,metro,0.8322005970049505
Santana,Avenida Água Fria,São Paulo,Santana,metro,1.900358666337754
Santana,Rua Eudoro Lemos de Oliveira,São Paulo,Santana,metro,1.1705582850876541
Santana,Rua Eudoro Lemos de Oliveira,São Paulo,Carandiru,metro,1.3379124593360496
Santana,Rua Eudoro Lemos de Oliveira,São Paulo,Portuguesa-Tietê,metro,1.8397873406574032
Santana,Rua Voluntários da Pátria,São Paulo,Jardim São Paulo Ayrton Senna,metro,1.1855109315349794
Santana,Rua Voluntários da Pátria,São Paulo,Santana,metro,0.22874941264864815
Santana,Rua Voluntários da Pátria,São Paulo,Carandiru,metro,0.9410405667228832
Santana,Rua Voluntários da Pátria,São Paulo,Portuguesa-Tietê,metro,1.7132047543265316
Vila Mariana,Rua Ouvidor Peleja,São Paulo,Vila Mariana,metro,1.4773876550899765
Vila Mariana,Rua Ouvidor Peleja,São Paulo,Santa Cruz,metro,0.9375699440499239
Vila Mariana,Rua Ouvidor Peleja,São Paulo,Praça da Árvore,metro,1.2672981717207543
Vila Mariana,Rua Ouvidor Peleja,São Paulo,Chácara Klabin,metro,1.1580829962416237
Vila Mariana,Rua Ouvidor Peleja,São Paulo,Santos – Imigrantes,metro,1.021787290023767
Vila Mariana,Rua Ouvidor Peleja,São Paulo,Alto do Ipiranga,metro,1.4376405688977356
Santana,R Pedro Doll 400,São Paulo,Parada Inglesa,metro,1.9903102522457412
Santana,R Pedro Doll 400,São Paulo,Jardim São Paulo Ayrton Senna,metro,1.1413739168030899
Santana,R Pedro Doll 400,São Paulo,Santana,metro,1.305598287271318
Ipiranga,Rua Pedro Victor 20,São Paulo,Vila Mariana,metro,1.8070104029951615
Ipiranga,Rua Pedro Victor 20,São Paulo,Chácara Klabin,metro,1.4739186681806133
Ipiranga,Rua Pedro Victor 20,São Paulo,Santos – Imigrantes,metro,0.5077725148987555
Ipiranga,Rua Pedro Victor 20,São Paulo,Alto do Ipiranga,metro,0.539000753885896
Ipiranga,Rua Pedro Victor 20,São Paulo,Sacomã,metro,1.5594607551251598
Santana,Rua Conselheiro Moreira de Barros,São Paulo,Jardim São Paulo Ayrton Senna,metro,1.6720501764920745
Santana,Rua Conselheiro Moreira de Barros,São Paulo,Santana,metro,1.5608933247095214
Tatuapé,Rua Vilela 875,São Paulo,Carrao,metro,0.4784901856247183
Tatuapé,Rua Vilela 875,São Paulo,Tatuape,metro,1.1726359139370743
Vila Carrão,R Antônio de Barros,São Paulo,Penha,metro,1.7765098006669826
Vila Carrão,R Antônio de Barros,São Paulo,Carrao,metro,0.9779130267042957
Penha,Rua Atuai,São Paulo,Guilhermina – Esperança,metro,1.3793859488289317
Penha,Rua Atuai,São Paulo,Vila Matilde,metro,0.5951421369032414
Penha,Rua Atuai,São Paulo,Penha,metro,1.5431785606604544
Jabaquara,Rua Guian,São Paulo,Jabaquara,metro,1.4300784810819491
Bom Retiro,Talmud Thorá,São Paulo,Santa Cecilia,metro,1.828718479044694
Bom Retiro,Talmud Thorá,São Paulo,Marechal Deodoro,metro,1.9596385014779034
Bom Retiro,Talmud Thorá,São Paulo,Osasco,trem,1.1852902517628254
Bom Retiro,Talmud Thorá,São Paulo,Pinheiros,trem,1.1852902517628254
Bom Retiro,Talmud Thorá,São Paulo,Portuguesa-Tietê,metro,1.5820491737636475
Bom Retiro,Talmud Thorá,São Paulo,Armênia,metro,0.7186407985388082
Bom Retiro,Talmud Thorá,São Paulo,Tiradentes,metro,0.661854889254453
Bom Retiro,Talmud Thorá,São Paulo,Luz,metro,1.0111808744956907
Jaguaré,RUA PARNAMIRIM,São Paulo,Ceasa,trem,1.1408007688550768
Jaguaré,RUA PARNAMIRIM,São Paulo,Villa Lobos,trem,1.669850885870312
Santana,RUA TUPIGUAES 77,São Paulo,Santana,metro,1.2563829318273976
Santana,RUA TUPIGUAES 77,São Paulo,Carandiru,metro,1.3326323142650025
Santana,RUA TUPIGUAES 77,São Paulo,Portuguesa-Tietê,metro,1.770276700117713
Tatuapé,Rua Marechal Barbacena,São Paulo,Tatuape,metro,1.7148965857578229
Tatuapé,Rua Cantagalo,São Paulo,Carrao,metro,0.8223700257417302
Tatuapé,Rua Cantagalo,São Paulo,Tatuape,metro,1.6606176748662
Jardim Marajoara,Rua José Jardim da Silveira,São Paulo,Jurubatuba,trem,1.9106244119765705
Belém,Rua Voltolino,São Paulo,Tatuape,metro,1.8360623251185497
Belém,Rua Voltolino,São Paulo,Belem,metro,1.8992876336422493
Água Branca,R PADRE ANTÔNIO TOMÁS,São Paulo,Barra Funda,metro,1.0210787951024385
Penha,Rua Frei Germano,São Paulo,Penha,metro,1.21896783032989
Penha,Rua Frei Germano,São Paulo,Carrao,metro,1.8170728362595363
Santana,Rua Voluntários da Pátria,São Paulo,Jardim São Paulo Ayrton Senna,metro,1.1855109315349794
Santana,Rua Voluntários da Pátria,São Paulo,Santana,metro,0.22874941264864815
Santana,Rua Voluntários da Pátria,São Paulo,Carandiru,metro,0.9410405667228832
Santana,Rua Voluntários da Pátria,São Paulo,Portuguesa-Tietê,metro,1.7132047543265316
Santana,Rua Santo Egídio,São Paulo,Jardim São Paulo Ayrton Senna,metro,1.9760133847495756
Santana,Rua Santo Egídio,São Paulo,Santana,metro,1.6798563294850126
Jardim das Vertentes,Rua Trajano Reis,São Paulo,Morumbi,trem,1.728634260372359
Jardim das Vertentes,Rua Trajano Reis,São Paulo,Saúde,metro,1.7524178683427065
Jardim das Vertentes,Rua Trajano Reis,São Paulo,São Paulo-Morumbi,metro,1.773657490777707
Tatuapé,AZEVEDO SOARES,São Paulo,Carrao,metro,1.1614344560602574
Tatuapé,AZEVEDO SOARES,São Paulo,Tatuape,metro,1.6557964984494706
Saúde,Rua Padre Machado,São Paulo,Vila Mariana,metro,1.3341520200834873
Saúde,Rua Padre Machado,São Paulo,Santa Cruz,metro,0.8532518885001988
Saúde,Rua Padre Machado,São Paulo,Praça da Árvore,metro,1.346104384538318
Saúde,Rua Padre Machado,São Paulo,Chácara Klabin,metro,1.01466429986978
Saúde,Rua Padre Machado,São Paulo,Santos – Imigrantes,metro,0.9558343604769242
Saúde,Rua Padre Machado,São Paulo,Alto do Ipiranga,metro,1.4514807569117025
Jaguaré,Avenida Jaguaré 383,São Paulo,Villa Lobos,trem,1.6737332812334398
Santa Cecília,RUA BARONESA DE ITU,São Paulo,Republica,metro,1.5671408745078375
Santa Cecília,RUA BARONESA DE ITU,São Paulo,Santa Cecilia,metro,0.8354456072387703
Santa Cecília,RUA BARONESA DE ITU,São Paulo,Marechal Deodoro,metro,0.6229623294626491
Santa Cecília,RUA BARONESA DE ITU,São Paulo,Barra Funda,metro,1.8444381505988339
